persona,hit_at_5,hit_at_10,reciprocal_rank
Pop Culture Browser,0.07936507936507936,0.07936507936507936,0.046825396825396826
Career Builder,0.03508771929824561,0.05263157894736842,0.009210526315789475
Budget Explorer,0.03076923076923077,0.046153846153846156,0.014102564102564103
Focused Planner,0.02857142857142857,0.04285714285714286,0.019523809523809523
Wellness Seeker,0.03225806451612903,0.03225806451612903,0.016129032258064516
Campus Connector,0.0,0.0,0.0
Minimalist Achiever,0.0,0.0,0.0
Weekend Adventurer,0.0,0.0,0.0
